order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD2018OCT_3322,1,boleto,1,89.27
ORD2018OCT_9038,3,voucher,1,103.47
ORD2018OCT_8132,1,voucher,1,606.57
ORD2018OCT_4963,1,boleto,1,53.5
ORD2018OCT_2277,1,credit_card,2,57.87
ORD2018OCT_6873,1,boleto,1,33.24
ORD2018OCT_5960,1,credit_card,6,89.63
ORD2018OCT_7388,1,boleto,1,173.27
ORD2018OCT_8827,1,credit_card,2,139.27
ORD2018OCT_5410,1,credit_card,1,1.92
ORD2018OCT_9724,1,credit_card,8,87.8
ORD2018OCT_6712,1,credit_card,4,99.55
ORD2018OCT_2336,1,boleto,1,67.5
ORD2018OCT_7909,1,credit_card,6,1702.35
ORD2018OCT_5978,1,boleto,1,74.49
ORD2018OCT_5117,2,voucher,1,150.0
ORD2018OCT_2125,1,credit_card,1,44.0
ORD2018OCT_7617,1,credit_card,3,249.39
ORD2018OCT_5735,1,credit_card,1,90.62
ORD2018OCT_8442,1,credit_card,5,52.18
ORD2018OCT_2513,1,credit_card,1,200.11
ORD2018OCT_9261,1,credit_card,1,46.84
ORD2018OCT_5668,1,credit_card,3,241.82
ORD2018OCT_5648,1,credit_card,5,56.78
ORD2018OCT_9043,1,boleto,1,181.55
ORD2018OCT_309,1,credit_card,6,127.92
ORD2018OCT_7513,1,boleto,1,36.5
ORD2018OCT_5045,1,credit_card,3,369.0
ORD2018OCT_5978,1,credit_card,10,107.22
ORD2018OCT_756,1,credit_card,1,9.08
ORD2018OCT_4899,1,credit_card,10,107.19
ORD2018OCT_4439,1,credit_card,1,114.42
ORD2018OCT_3020,1,credit_card,3,155.22
ORD2018OCT_8881,1,credit_card,10,310.21
ORD2018OCT_7874,1,boleto,1,74.57
ORD2018OCT_4164,1,credit_card,4,178.03
ORD2018OCT_855,1,credit_card,2,128.02
ORD2018OCT_4689,1,boleto,1,45.13
ORD2018OCT_724,1,credit_card,1,66.67
ORD2018OCT_6607,1,credit_card,6,66.09
ORD2018OCT_4374,1,credit_card,4,243.4
ORD2018OCT_5087,1,credit_card,8,319.05
ORD2018OCT_3428,1,credit_card,5,119.93
ORD2018OCT_1628,1,credit_card,8,101.48
ORD2018OCT_507,1,credit_card,10,189.42
ORD2018OCT_9736,1,boleto,1,30.04
ORD2018OCT_3195,1,voucher,1,108.0
ORD2018OCT_2123,1,credit_card,2,124.27
ORD2018OCT_7210,1,credit_card,8,231.88
ORD2018OCT_169,1,credit_card,4,44.24
ORD2018OCT_7424,1,debit_card,1,32.44
ORD2018OCT_3220,1,boleto,1,74.16
ORD2018OCT_5934,1,credit_card,1,37.58
ORD2018OCT_5613,1,credit_card,5,54.1
ORD2018OCT_3064,1,boleto,1,101.14
ORD2018OCT_1709,1,debit_card,1,49.75
ORD2018OCT_1607,1,credit_card,1,52.26
ORD2018OCT_9775,1,credit_card,8,136.06
ORD2018OCT_1915,1,credit_card,8,253.68
ORD2018OCT_2111,2,voucher,1,24.67
ORD2018OCT_4502,1,credit_card,3,503.71
ORD2018OCT_7746,1,boleto,1,65.98
ORD2018OCT_6529,1,boleto,1,146.22
ORD2018OCT_8285,1,credit_card,3,39.09
ORD2018OCT_2443,1,credit_card,1,23.23
ORD2018OCT_6744,1,credit_card,1,258.9
ORD2018OCT_4511,1,credit_card,6,84.47
ORD2018OCT_304,1,credit_card,7,87.8
ORD2018OCT_8693,1,credit_card,6,67.28
ORD2018OCT_1937,1,boleto,1,128.22
ORD2018OCT_6930,1,credit_card,10,197.53
ORD2018OCT_2989,1,credit_card,2,178.99
ORD2018OCT_144,1,boleto,1,55.0
ORD2018OCT_1723,1,credit_card,6,139.61
ORD2018OCT_2430,1,credit_card,5,64.77
ORD2018OCT_1639,1,boleto,1,387.32
ORD2018OCT_8848,1,credit_card,1,72.48
ORD2018OCT_5319,1,credit_card,4,83.95
ORD2018OCT_4938,1,boleto,1,73.34
ORD2018OCT_9788,1,credit_card,8,82.12
ORD2018OCT_4556,1,credit_card,6,329.38
ORD2018OCT_6698,1,credit_card,2,44.24
ORD2018OCT_4300,1,boleto,1,31.28
ORD2018OCT_5151,1,credit_card,5,115.36
ORD2018OCT_5748,1,credit_card,4,49.76
ORD2018OCT_1443,1,credit_card,3,143.5
ORD2018OCT_7879,1,boleto,1,45.09
ORD2018OCT_7914,1,credit_card,3,91.19
ORD2018OCT_6232,1,credit_card,1,73.34
ORD2018OCT_2736,1,credit_card,2,56.37
ORD2018OCT_8691,1,credit_card,2,478.46
ORD2018OCT_3713,1,credit_card,3,193.98
ORD2018OCT_7674,1,boleto,1,91.86
ORD2018OCT_9543,1,boleto,1,68.63
ORD2018OCT_4976,2,voucher,1,250.0
ORD2018OCT_9145,1,credit_card,1,106.38
ORD2018OCT_3395,1,credit_card,1,44.13
ORD2018OCT_1908,1,credit_card,2,150.08
ORD2018OCT_6438,1,credit_card,8,117.85
ORD2018OCT_1011,1,credit_card,5,254.04
ORD2018OCT_282,1,credit_card,8,913.7
ORD2018OCT_9343,1,credit_card,4,43.62
ORD2018OCT_1811,1,boleto,1,45.95
ORD2018OCT_8573,1,credit_card,2,100.34
ORD2018OCT_3032,1,credit_card,5,194.92
ORD2018OCT_2381,1,boleto,1,95.21
ORD2018OCT_875,1,credit_card,3,161.77
ORD2018OCT_2006,1,credit_card,5,77.22
ORD2018OCT_1587,1,credit_card,3,328.35
ORD2018OCT_1909,1,credit_card,1,49.22
ORD2018OCT_5870,1,voucher,1,88.08
ORD2018OCT_7634,1,boleto,1,145.5
ORD2018OCT_914,2,voucher,1,20.0
ORD2018OCT_328,1,credit_card,1,75.07
ORD2018OCT_1334,1,credit_card,1,26.79
ORD2018OCT_6420,1,credit_card,2,105.44
ORD2018OCT_6664,1,boleto,1,48.69
ORD2018OCT_1145,1,credit_card,5,264.39
ORD2018OCT_4061,1,credit_card,3,35.04
ORD2018OCT_3311,1,credit_card,10,968.93
ORD2018OCT_7549,2,voucher,1,20.0
ORD2018OCT_8216,1,credit_card,2,35.78
ORD2018OCT_6138,1,boleto,1,80.98
ORD2018OCT_1966,1,credit_card,5,297.14
ORD2018OCT_5826,1,credit_card,1,98.33
ORD2018OCT_1101,1,credit_card,1,194.64
ORD2018OCT_3100,1,credit_card,8,108.19
ORD2018OCT_4346,1,credit_card,2,130.93
ORD2018OCT_3498,1,credit_card,3,80.11
ORD2018OCT_6756,1,credit_card,3,49.53
ORD2018OCT_5452,1,boleto,1,81.89
ORD2018OCT_1314,1,credit_card,10,674.33
ORD2018OCT_5791,1,credit_card,2,139.27
ORD2018OCT_4675,1,boleto,1,114.68
ORD2018OCT_8295,1,credit_card,2,25.88
ORD2018OCT_2077,5,voucher,1,2.61
ORD2018OCT_1920,1,credit_card,2,94.47
ORD2018OCT_5695,1,credit_card,6,189.26
ORD2018OCT_240,1,boleto,1,313.19
ORD2018OCT_5064,1,credit_card,4,127.92
ORD2018OCT_2097,1,credit_card,3,35.35
ORD2018OCT_4813,1,credit_card,1,33.12
ORD2018OCT_2957,1,credit_card,3,189.97
ORD2018OCT_1343,1,credit_card,5,223.78
ORD2018OCT_5063,1,credit_card,1,126.57
ORD2018OCT_8873,1,credit_card,1,152.76
ORD2018OCT_391,1,credit_card,2,203.52
ORD2018OCT_3049,1,credit_card,1,43.18
ORD2018OCT_5409,1,boleto,1,50.01
ORD2018OCT_333,1,boleto,1,147.34
ORD2018OCT_9037,3,voucher,1,50.0
ORD2018OCT_5323,1,credit_card,1,31.85
ORD2018OCT_3090,1,credit_card,3,34.09
ORD2018OCT_4971,1,credit_card,1,37.38
ORD2018OCT_985,2,voucher,1,20.78
ORD2018OCT_7106,1,credit_card,1,24.79
ORD2018OCT_1458,1,credit_card,4,117.48
ORD2018OCT_8516,1,credit_card,7,74.76
ORD2018OCT_1848,1,credit_card,2,137.08
ORD2018OCT_9481,1,credit_card,4,664.17
ORD2018OCT_2420,1,credit_card,4,204.07
ORD2018OCT_9499,1,voucher,1,25.24
ORD2018OCT_3781,1,credit_card,1,19.42
ORD2018OCT_3718,1,credit_card,8,86.15
ORD2018OCT_6001,1,boleto,1,79.56
ORD2018OCT_5842,1,credit_card,3,34.0
ORD2018OCT_4365,1,credit_card,2,72.14
ORD2018OCT_5191,1,boleto,1,37.53
ORD2018OCT_2108,1,credit_card,1,60.57
ORD2018OCT_2926,1,credit_card,4,173.23
ORD2018OCT_4691,1,credit_card,10,205.5
ORD2018OCT_5613,1,credit_card,1,53.01
ORD2018OCT_9745,1,credit_card,1,45.46
ORD2018OCT_3691,1,voucher,1,8.33
ORD2018OCT_7383,1,credit_card,4,91.12
ORD2018OCT_9064,1,credit_card,1,37.58
ORD2018OCT_6469,1,credit_card,1,42.4
ORD2018OCT_5210,1,credit_card,4,75.17
ORD2018OCT_8835,1,credit_card,8,154.29
ORD2018OCT_9583,1,credit_card,1,87.15
ORD2018OCT_6886,2,voucher,1,133.98
ORD2018OCT_1077,1,credit_card,1,8.33
ORD2018OCT_7151,1,credit_card,2,71.07
ORD2018OCT_6822,1,credit_card,1,36.75
ORD2018OCT_5920,1,credit_card,1,85.75
ORD2018OCT_5205,1,credit_card,1,95.22
ORD2018OCT_3557,1,credit_card,1,55.91
ORD2018OCT_7588,1,credit_card,1,132.1
ORD2018OCT_5701,1,credit_card,8,962.41
ORD2018OCT_6011,1,credit_card,8,195.91
ORD2018OCT_605,1,credit_card,1,75.18
ORD2018OCT_9260,1,boleto,1,192.66
ORD2018OCT_1519,1,credit_card,1,73.34
ORD2018OCT_1852,1,credit_card,1,40.28
ORD2018OCT_2871,1,debit_card,1,189.0
ORD2018OCT_1420,1,credit_card,1,35.77
ORD2018OCT_756,2,voucher,1,4.59
ORD2018OCT_2262,1,credit_card,3,139.24
ORD2018OCT_4997,1,credit_card,5,59.87
ORD2018OCT_6964,1,credit_card,8,664.63
ORD2018OCT_4731,1,credit_card,1,112.02
ORD2018OCT_2447,1,credit_card,7,72.43
ORD2018OCT_3037,1,boleto,1,52.3
ORD2018OCT_4570,1,boleto,1,143.28
ORD2018OCT_8174,1,credit_card,10,446.22
ORD2018OCT_7069,1,boleto,1,222.13
ORD2018OCT_6360,1,credit_card,2,155.2
ORD2018OCT_8334,1,credit_card,3,267.12
ORD2018OCT_8603,1,credit_card,1,119.77
ORD2018OCT_75,2,voucher,1,91.65
ORD2018OCT_788,1,credit_card,10,274.82
ORD2018OCT_8464,1,credit_card,2,60.44
ORD2018OCT_8214,1,credit_card,10,175.68
ORD2018OCT_9209,1,credit_card,6,126.22
ORD2018OCT_4956,1,credit_card,1,72.77
ORD2018OCT_1865,11,voucher,1,6.34
ORD2018OCT_2361,1,credit_card,1,87.82
ORD2018OCT_1156,1,credit_card,10,1384.73
ORD2018OCT_7468,1,credit_card,3,65.09
ORD2018OCT_1796,1,boleto,1,59.34
ORD2018OCT_9616,1,credit_card,8,351.48
ORD2018OCT_1919,1,boleto,1,72.14
ORD2018OCT_1149,1,boleto,1,150.74
ORD2018OCT_8950,1,boleto,1,81.42
ORD2018OCT_2662,1,boleto,1,41.0
ORD2018OCT_273,1,boleto,1,90.05
ORD2018OCT_3203,1,credit_card,8,167.18
ORD2018OCT_6739,1,credit_card,1,96.96
ORD2018OCT_9822,1,credit_card,1,45.54
ORD2018OCT_7480,1,credit_card,8,166.4
ORD2018OCT_1289,1,credit_card,3,39.27
ORD2018OCT_2630,1,boleto,1,155.39
ORD2018OCT_8564,1,credit_card,3,108.16
ORD2018OCT_5390,1,boleto,1,94.74
ORD2018OCT_5012,1,credit_card,1,200.21
ORD2018OCT_4190,1,credit_card,5,50.86
ORD2018OCT_8843,1,credit_card,1,130.22
ORD2018OCT_6348,1,credit_card,6,128.44
ORD2018OCT_4655,1,credit_card,6,882.92
ORD2018OCT_1353,1,credit_card,5,336.08
ORD2018OCT_8814,1,credit_card,1,76.66
ORD2018OCT_2240,1,credit_card,2,160.5
ORD2018OCT_1213,1,boleto,1,131.18
ORD2018OCT_4414,1,credit_card,3,93.94
ORD2018OCT_8545,1,credit_card,5,105.28
ORD2018OCT_1944,1,credit_card,1,8.39
ORD2018OCT_289,1,credit_card,6,462.54
ORD2018OCT_4424,1,credit_card,6,103.11
ORD2018OCT_5241,1,credit_card,2,144.76
ORD2018OCT_7690,1,credit_card,3,48.62
ORD2018OCT_1359,1,credit_card,5,74.51
ORD2018OCT_4153,1,credit_card,3,67.21
ORD2018OCT_6991,1,credit_card,5,126.92
ORD2018OCT_4550,1,boleto,1,48.0
ORD2018OCT_1189,1,boleto,1,102.74
ORD2018OCT_8397,1,boleto,1,155.96
ORD2018OCT_3943,1,credit_card,4,59.85
ORD2018OCT_1646,1,credit_card,3,48.3
ORD2018OCT_1078,1,credit_card,10,151.63
ORD2018OCT_2879,1,credit_card,3,147.59
ORD2018OCT_7232,1,credit_card,1,39.64
ORD2018OCT_483,1,boleto,1,200.44
ORD2018OCT_8496,1,boleto,1,130.47
ORD2018OCT_9199,1,credit_card,8,1260.76
ORD2018OCT_844,1,credit_card,1,235.28
ORD2018OCT_4137,1,boleto,1,114.79
ORD2018OCT_8042,1,credit_card,10,529.86
ORD2018OCT_8926,1,credit_card,4,99.65
ORD2018OCT_4451,1,credit_card,6,371.91
ORD2018OCT_7969,1,boleto,1,44.52
ORD2018OCT_3345,1,credit_card,1,69.73
ORD2018OCT_795,1,credit_card,1,254.58
ORD2018OCT_8784,1,voucher,1,51.75
ORD2018OCT_4804,1,credit_card,1,51.59
ORD2018OCT_3233,1,boleto,1,103.07
ORD2018OCT_6163,1,credit_card,2,144.99
ORD2018OCT_6749,1,boleto,1,68.45
ORD2018OCT_5784,1,credit_card,2,60.05
ORD2018OCT_3851,1,credit_card,2,26.85
ORD2018OCT_6314,1,boleto,1,61.32
ORD2018OCT_3155,1,credit_card,3,66.94
ORD2018OCT_2894,1,credit_card,8,363.2
ORD2018OCT_1191,1,boleto,1,213.2
ORD2018OCT_2774,1,boleto,1,52.39
ORD2018OCT_5251,1,credit_card,10,119.26
ORD2018OCT_5151,1,credit_card,1,2.67
ORD2018OCT_9733,1,voucher,1,136.41
ORD2018OCT_6440,1,credit_card,4,63.35
ORD2018OCT_6158,1,credit_card,5,135.49
ORD2018OCT_2344,2,voucher,1,18.65
ORD2018OCT_7387,1,credit_card,10,520.29
ORD2018OCT_4651,1,credit_card,2,181.33
ORD2018OCT_632,1,credit_card,2,106.87
ORD2018OCT_3064,1,credit_card,1,24.87
ORD2018OCT_606,1,credit_card,18,1232.85
ORD2018OCT_8360,1,credit_card,4,138.99
ORD2018OCT_4075,1,credit_card,10,166.59
ORD2018OCT_9027,1,credit_card,1,108.44
ORD2018OCT_3834,1,boleto,1,238.69
ORD2018OCT_1979,1,credit_card,2,102.03
ORD2018OCT_4901,1,credit_card,8,89.28
ORD2018OCT_6903,1,credit_card,1,97.04
ORD2018OCT_4279,1,credit_card,6,147.78
ORD2018OCT_2447,1,credit_card,10,410.69
ORD2018OCT_5683,1,credit_card,2,1228.03
ORD2018OCT_3074,1,credit_card,3,66.23
ORD2018OCT_2310,1,credit_card,4,108.44
ORD2018OCT_7594,1,credit_card,2,44.54
ORD2018OCT_7030,1,credit_card,5,188.34
ORD2018OCT_3902,1,credit_card,1,55.04
ORD2018OCT_240,1,credit_card,2,51.01
ORD2018OCT_7756,1,boleto,1,154.99
ORD2018OCT_9523,1,boleto,1,88.52
ORD2018OCT_8033,1,debit_card,1,95.22
ORD2018OCT_4996,1,credit_card,2,87.62
ORD2018OCT_6102,1,credit_card,5,62.41
ORD2018OCT_2743,1,boleto,1,147.13
ORD2018OCT_8737,1,credit_card,2,99.9
ORD2018OCT_1591,1,credit_card,1,197.58
ORD2018OCT_6400,1,credit_card,2,65.69
ORD2018OCT_8048,1,credit_card,1,4.03
ORD2018OCT_143,1,credit_card,3,161.54
ORD2018OCT_3775,1,credit_card,1,52.37
ORD2018OCT_5088,1,credit_card,1,99.74
ORD2018OCT_2382,1,credit_card,1,34.65
ORD2018OCT_3051,1,credit_card,6,528.78
ORD2018OCT_1766,1,credit_card,3,342.38
ORD2018OCT_984,1,credit_card,4,142.12
ORD2018OCT_2121,1,credit_card,4,233.29
ORD2018OCT_2834,1,credit_card,2,238.0
ORD2018OCT_9757,1,boleto,1,56.92
ORD2018OCT_7577,1,voucher,1,7.21
ORD2018OCT_1397,1,credit_card,1,63.27
ORD2018OCT_5082,2,voucher,1,100.0
ORD2018OCT_8115,1,credit_card,1,60.59
ORD2018OCT_2312,1,credit_card,1,45.52
ORD2018OCT_2605,1,boleto,1,50.09
ORD2018OCT_697,1,boleto,1,60.65
ORD2018OCT_903,1,boleto,1,122.98
ORD2018OCT_9646,1,voucher,1,94.01
ORD2018OCT_6953,1,credit_card,1,83.23
ORD2018OCT_8426,1,credit_card,3,177.14
ORD2018OCT_5871,2,voucher,1,77.94
ORD2018OCT_3261,1,boleto,1,130.01
ORD2018OCT_9347,1,boleto,1,82.43
ORD2018OCT_6069,1,credit_card,6,80.19
ORD2018OCT_9158,1,credit_card,5,175.99
ORD2018OCT_8953,1,credit_card,10,225.79
ORD2018OCT_2138,1,credit_card,8,85.89
ORD2018OCT_5984,1,boleto,1,350.59
ORD2018OCT_7187,1,credit_card,4,98.79
ORD2018OCT_6837,1,boleto,1,77.57
ORD2018OCT_6484,1,credit_card,1,74.74
ORD2018OCT_2403,1,boleto,1,56.69
ORD2018OCT_8321,1,credit_card,3,36.82
ORD2018OCT_1411,1,credit_card,3,148.5
ORD2018OCT_4000,2,voucher,1,35.29
ORD2018OCT_267,1,credit_card,6,125.56
ORD2018OCT_2555,1,credit_card,1,67.76
ORD2018OCT_36,1,credit_card,2,20.75
ORD2018OCT_5295,1,credit_card,7,193.9
ORD2018OCT_4685,2,debit_card,1,584.33
ORD2018OCT_4827,1,credit_card,2,64.62
ORD2018OCT_1636,1,boleto,1,322.94
ORD2018OCT_6094,1,credit_card,3,188.01
ORD2018OCT_7746,1,credit_card,1,126.37
ORD2018OCT_3077,1,credit_card,2,47.75
ORD2018OCT_5046,1,boleto,1,65.51
ORD2018OCT_4139,1,credit_card,1,162.26
ORD2018OCT_9434,1,credit_card,7,146.0
ORD2018OCT_2020,1,credit_card,8,342.02
ORD2018OCT_5847,1,credit_card,5,54.9
ORD2018OCT_3495,1,credit_card,5,63.82
ORD2018OCT_714,1,boleto,1,207.08
ORD2018OCT_6848,1,boleto,1,93.43
ORD2018OCT_3829,1,credit_card,4,40.09
ORD2018OCT_978,1,credit_card,8,95.29
ORD2018OCT_9863,1,credit_card,5,213.52
ORD2018OCT_9641,1,credit_card,8,105.38
ORD2018OCT_621,1,boleto,1,74.19
ORD2018OCT_9348,1,credit_card,1,45.3
ORD2018OCT_4305,1,credit_card,7,71.14
ORD2018OCT_8793,1,credit_card,10,197.19
ORD2018OCT_4320,1,credit_card,1,40.23
ORD2018OCT_720,1,boleto,1,47.09
ORD2018OCT_2414,1,credit_card,4,43.22
ORD2018OCT_5673,1,boleto,1,102.97
ORD2018OCT_6699,1,credit_card,8,298.65
ORD2018OCT_9263,1,credit_card,4,117.94
ORD2018OCT_6269,1,credit_card,10,154.42
ORD2018OCT_3544,1,credit_card,8,378.04
ORD2018OCT_2345,1,boleto,1,35.13
ORD2018OCT_7832,1,credit_card,1,62.42
ORD2018OCT_5025,1,boleto,1,22.79
ORD2018OCT_4213,1,credit_card,6,861.76
ORD2018OCT_1215,1,credit_card,3,91.18
ORD2018OCT_2281,2,voucher,1,270.46
ORD2018OCT_4728,2,voucher,1,47.01
ORD2018OCT_614,1,credit_card,3,135.77
ORD2018OCT_5174,1,credit_card,6,162.99
ORD2018OCT_8030,2,voucher,1,83.39
ORD2018OCT_6523,1,credit_card,2,42.68
ORD2018OCT_8833,1,credit_card,1,67.5
ORD2018OCT_6390,1,credit_card,10,212.52
ORD2018OCT_9405,1,credit_card,5,284.9
ORD2018OCT_4774,1,credit_card,10,254.42
ORD2018OCT_1941,1,credit_card,6,66.74
ORD2018OCT_9858,1,credit_card,1,149.57
ORD2018OCT_406,1,credit_card,1,77.06
ORD2018OCT_6651,1,credit_card,1,75.08
ORD2018OCT_1010,1,credit_card,3,170.17
ORD2018OCT_8272,2,voucher,1,42.36
ORD2018OCT_2761,1,credit_card,1,43.98
ORD2018OCT_3976,1,credit_card,4,47.69
ORD2018OCT_2684,1,boleto,1,69.4
ORD2018OCT_3277,1,credit_card,1,69.31
ORD2018OCT_2627,1,credit_card,5,386.35
ORD2018OCT_1082,1,credit_card,1,61.46
ORD2018OCT_2094,1,credit_card,1,86.94
ORD2018OCT_3559,1,credit_card,2,179.86
ORD2018OCT_7937,1,credit_card,4,49.27
ORD2018OCT_1069,1,boleto,1,109.67
ORD2018OCT_4907,1,credit_card,5,56.78
ORD2018OCT_104,1,credit_card,1,44.95
ORD2018OCT_7123,1,credit_card,4,56.77
ORD2018OCT_7549,1,credit_card,1,70.48
ORD2018OCT_167,2,voucher,1,18.0
ORD2018OCT_1477,1,credit_card,8,85.14
ORD2018OCT_7946,1,credit_card,12,128.17
ORD2018OCT_3914,1,boleto,1,117.04
ORD2018OCT_1332,1,credit_card,8,298.77
ORD2018OCT_5776,1,boleto,1,32.7
ORD2018OCT_8160,1,credit_card,1,57.53
ORD2018OCT_7335,1,credit_card,5,104.28
ORD2018OCT_2353,1,credit_card,10,577.92
ORD2018OCT_3877,1,credit_card,2,136.04
ORD2018OCT_5576,1,credit_card,1,27.19
ORD2018OCT_8689,1,credit_card,5,223.69
ORD2018OCT_9907,1,boleto,1,38.13
ORD2018OCT_2806,2,voucher,1,56.39
ORD2018OCT_5935,1,credit_card,2,678.82
ORD2018OCT_4300,1,credit_card,2,56.6
ORD2018OCT_290,1,credit_card,10,234.64
ORD2018OCT_4538,1,boleto,1,58.44
ORD2018OCT_5199,2,voucher,1,50.0
ORD2018OCT_6760,1,credit_card,1,252.83
ORD2018OCT_532,1,credit_card,6,70.31
ORD2018OCT_8940,1,credit_card,3,147.81
ORD2018OCT_482,1,credit_card,1,152.0
ORD2018OCT_3972,1,boleto,1,170.64
